user_id,gender,age,total,nb_tshirts,age_buckets,expenditure_buckets
013894a6e6,M,43.1346153846,19.9,1.0,40 to 60,0 to 100
013e7f7f7e,M,25.8708791209,19.9,1.0,20 to 30,0 to 100
0140a97203,F,113.423076923,16.7,1.0,60 and above,0 to 100
014163d79e,,29.293956044,39.8,2.0,20 to 30,0 to 100
01495a3725,,21.0769230769,19.9,1.0,20 to 30,0 to 100
014bcd6ad9,F,42.9725274725,16.7,1.0,40 to 60,0 to 100
014c5a057d,M,22.6703296703,19.9,1.0,20 to 30,0 to 100
014ee7b22c,,42.2637362637,23.9,1.0,40 to 60,0 to 100
015657b1bd,,30.3736263736,19.9,1.0,30 to 40,0 to 100
0157aeda77,,59.5851648352,25.0,1.0,40 to 60,0 to 100
0157b4acde,F,32.6016483516,16.7,1.0,30 to 40,0 to 100
015ddaca06,,30.7527472527,25.0,1.0,30 to 40,0 to 100
015e82e5c1,F,35.3434065934,16.7,1.0,30 to 40,0 to 100
016b53efc2,M,66.1840659341,19.9,1.0,60 and above,0 to 100
016c2a7ebf,,20.5879120879,25.0,1.0,20 to 30,0 to 100
017720d47a,M,47.6565934066,39.8,2.0,40 to 60,0 to 100
017be173d1,,41.9862637363,39.8,2.0,40 to 60,0 to 100
017d9433e7,F,49.1126373626,33.4,2.0,40 to 60,0 to 100
0186b49596,,22.0164835165,25.0,1.0,20 to 30,0 to 100
01884ecd09,M,57.3543956044,16.7,1.0,40 to 60,0 to 100
0188d3ed51,M,32.3571428571,16.7,1.0,30 to 40,0 to 100
018a28bcd4,,28.7032967033,25.0,1.0,20 to 30,0 to 100
018a3d9279,,31.7225274725,23.9,1.0,30 to 40,0 to 100
018c0a88da,M,31.532967033,19.9,1.0,30 to 40,0 to 100
018f661d8d,,58.7005494505,25.0,1.0,40 to 60,0 to 100
019173edb7,M,27.1950549451,19.9,1.0,20 to 30,0 to 100
019512928c,M,28.0412087912,19.9,1.0,20 to 30,0 to 100
019579df9e,M,28.7032967033,33.4,2.0,20 to 30,0 to 100
01965cf6b3,,34.7857142857,50.0,2.0,30 to 40,0 to 100
01977bcb91,M,47.8021978022,19.9,1.0,40 to 60,0 to 100
019a6231c7,F,60.8461538462,16.7,1.0,60 and above,0 to 100
019b5ac773,,113.423076923,50.0,2.0,60 and above,0 to 100
019d030475,F,38.8543956044,16.7,1.0,30 to 40,0 to 100
019fd213a7,M,57.9230769231,16.7,1.0,40 to 60,0 to 100
01a2c77dec,F,30.9532967033,16.7,1.0,30 to 40,0 to 100
01a5166ac3,,113.423076923,23.9,1.0,60 and above,0 to 100
01a59eed19,M,31.8406593407,19.9,1.0,30 to 40,0 to 100
01a6a4715f,F,26.2197802198,19.9,1.0,20 to 30,0 to 100
01a803fd74,M,66.9120879121,25.0,1.0,60 and above,0 to 100
01ab26e606,M,35.760989011,23.9,1.0,30 to 40,0 to 100
01af314e55,M,29.8901098901,16.7,1.0,20 to 30,0 to 100
01b50eca8e,,39.510989011,25.0,1.0,30 to 40,0 to 100
01b664e574,F,26.3104395604,33.4,2.0,20 to 30,0 to 100
01b78a029e,M,113.423076923,16.7,1.0,60 and above,0 to 100
01b7d0356e,F,34.3186813187,16.7,1.0,30 to 40,0 to 100
01c0f072f2,M,113.423076923,23.9,1.0,60 and above,0 to 100
01c20fe686,M,24.4175824176,16.7,1.0,20 to 30,0 to 100
01c5b52eda,,64.8598901099,25.0,1.0,60 and above,0 to 100
01c824a51d,M,31.2472527473,23.9,1.0,30 to 40,0 to 100
01ca4341be,M,32.6291208791,23.9,1.0,30 to 40,0 to 100
01cc8a1de7,,37.7005494505,25.0,1.0,30 to 40,0 to 100
01cfdc425a,M,33.7307692308,16.7,1.0,30 to 40,0 to 100
01d1b20184,,36.6730769231,25.0,1.0,30 to 40,0 to 100
01d1bef72b,F,20.0879120879,16.7,1.0,20 to 30,0 to 100
01d4c89007,M,30.1510989011,39.8,2.0,30 to 40,0 to 100
01d60bb88c,M,33.510989011,23.9,1.0,30 to 40,0 to 100
01df615589,M,59.8351648352,59.7,3.0,40 to 60,0 to 100
01e10697f5,M,36.0714285714,39.8,2.0,30 to 40,0 to 100
01e290009e,M,113.423076923,19.9,1.0,60 and above,0 to 100
01e516d431,F M,26.0494505495,43.8,2.0,20 to 30,0 to 100
01e5ad3af2,,45.1510989011,25.0,1.0,40 to 60,0 to 100
01e6a628ba,M,31.6401098901,16.7,1.0,30 to 40,0 to 100
01e6aa872a,M,53.6923076923,19.9,1.0,40 to 60,0 to 100
01edba9d1d,M,26.7307692308,33.4,2.0,20 to 30,0 to 100
01ee31b854,M,47.0412087912,23.9,1.0,40 to 60,0 to 100
01f1c6efcf,M,31.6208791209,87.6,4.0,30 to 40,0 to 100
01f66af56d,,55.5549450549,32.0,1.0,40 to 60,0 to 100
01fbc7610c,M,113.423076923,16.7,1.0,60 and above,0 to 100
01fc172679,M,22.3873626374,16.7,1.0,20 to 30,0 to 100
01ffb7e497,M,40.3489010989,16.7,1.0,40 to 60,0 to 100
020014fc09,,32.5494505495,19.9,1.0,30 to 40,0 to 100
0202c105fb,,55.1565934066,25.0,1.0,40 to 60,0 to 100
02117f7455,M,25.0494505495,19.9,1.0,20 to 30,0 to 100
0212c84314,M,27.9120879121,19.9,1.0,20 to 30,0 to 100
0216a59c9b,M,30.4038461538,19.9,1.0,30 to 40,0 to 100
021997aaa5,M,21.0961538462,16.7,1.0,20 to 30,0 to 100
0219b98718,M,53.1565934066,59.7,3.0,40 to 60,0 to 100
0219e03391,,31.010989011,23.9,1.0,30 to 40,0 to 100
021a855d25,F,113.423076923,16.7,1.0,60 and above,0 to 100
021b5db866,F,42.4203296703,39.8,2.0,40 to 60,0 to 100
021b93ef0b,F,28.010989011,33.4,2.0,20 to 30,0 to 100
021bb52b19,F,45.3928571429,33.4,2.0,40 to 60,0 to 100
021c1f105d,M,30.6758241758,33.4,2.0,30 to 40,0 to 100
021c598fb2,F,27.1236263736,16.7,1.0,20 to 30,0 to 100
021ca0371d,M,29.5714285714,23.9,1.0,20 to 30,0 to 100
021db3a599,M,45.6236263736,16.7,1.0,40 to 60,0 to 100
0221cbd125,F,17.4093406593,16.7,1.0,0 to 20,0 to 100
0222942ea3,M,19.8379120879,16.7,1.0,0 to 20,0 to 100
02241d31cc,F M,37.5192307692,66.8,4.0,30 to 40,0 to 100
022585d8b5,M,113.423076923,16.7,1.0,60 and above,0 to 100
0226c6624d,F,52.3928571429,191.2,8.0,40 to 60,100 to 300
022800d6cf,,62.6565934066,23.9,1.0,60 and above,0 to 100
0229d4d844,,41.8956043956,25.0,1.0,40 to 60,0 to 100
022dca1860,F,27.4917582418,16.7,1.0,20 to 30,0 to 100
022f7cd362,,58.4615384615,23.9,1.0,40 to 60,0 to 100
02334d2b8e,,113.423076923,23.9,1.0,60 and above,0 to 100
02352da1b7,,25.7032967033,19.9,1.0,20 to 30,0 to 100
023615a398,F,42.3296703297,16.7,1.0,40 to 60,0 to 100
02393a3d10,F,31.7884615385,50.1,3.0,30 to 40,0 to 100
0239fd37cb,F,30.5989010989,16.7,1.0,30 to 40,0 to 100
023a83c702,F,35.7802197802,33.4,2.0,30 to 40,0 to 100
023b90e462,M,60.75,25.0,1.0,60 and above,0 to 100
023b9edcdf,M,113.423076923,16.7,1.0,60 and above,0 to 100
023f7004f5,M,27.0934065934,16.7,1.0,20 to 30,0 to 100
0240792b1a,F,48.8269230769,16.7,1.0,40 to 60,0 to 100
0241bc74b9,M,30.4340659341,16.7,1.0,30 to 40,0 to 100
0247588ae8,M,33.1703296703,23.9,1.0,30 to 40,0 to 100
024dc8fdd3,,44.7747252747,119.5,5.0,40 to 60,100 to 300
024dea55e2,M,22.0027472527,25.0,1.0,20 to 30,0 to 100
024fee2831,F M,23.3269230769,66.8,4.0,20 to 30,0 to 100
0250cf5402,F,63.2252747253,33.4,2.0,60 and above,0 to 100
02520e1f26,M,113.423076923,16.7,1.0,60 and above,0 to 100
025523493f,F,59.5384615385,19.9,1.0,40 to 60,0 to 100
0256785c8e,M,33.5412087912,16.7,1.0,30 to 40,0 to 100
025686a243,M,36.521978022,16.7,1.0,30 to 40,0 to 100
025c50f5ba,M,29.3131868132,19.9,1.0,20 to 30,0 to 100
025d657bc3,M,37.0274725275,23.9,1.0,30 to 40,0 to 100
025e5a5234,M,113.423076923,19.9,1.0,60 and above,0 to 100
025e9dcaa9,,35.3489010989,23.9,1.0,30 to 40,0 to 100
02629eeca3,,35.5137362637,25.0,1.0,30 to 40,0 to 100
026300b74c,,28.217032967,23.9,1.0,20 to 30,0 to 100
026551ca22,F,32.7582417582,23.9,1.0,30 to 40,0 to 100
026606db76,,113.423076923,19.9,1.0,60 and above,0 to 100
02674ff8e1,F,38.0164835165,36.6,2.0,30 to 40,0 to 100
026a51ca09,,27.3708791209,25.0,1.0,20 to 30,0 to 100
026d68535f,,28.3131868132,23.9,1.0,20 to 30,0 to 100
026e086653,M,35.293956044,33.4,2.0,30 to 40,0 to 100
027546eeb6,,113.423076923,23.9,1.0,60 and above,0 to 100
027a716675,F,56.2554945055,16.7,1.0,40 to 60,0 to 100
027beb31a7,,30.8901098901,23.9,1.0,30 to 40,0 to 100
027c2a0307,M,38.5521978022,25.0,1.0,30 to 40,0 to 100
0281d75af4,,42.2005494505,64.0,2.0,40 to 60,0 to 100
028b3375a3,M,65.206043956,39.8,2.0,60 and above,0 to 100
028b793e22,M,113.423076923,16.7,1.0,60 and above,0 to 100
028ec39450,,28.8296703297,23.9,1.0,20 to 30,0 to 100
02a42bfdb7,,44.9972527473,19.9,1.0,40 to 60,0 to 100
02a673d707,F,64.8901098901,16.7,1.0,60 and above,0 to 100
02a6aaee87,,81.5879120879,25.0,1.0,60 and above,0 to 100
02a6d96c4f,F,62.3296703297,16.7,1.0,60 and above,0 to 100
02a8bcc5f7,M,113.423076923,23.9,1.0,60 and above,0 to 100
02aefe4d77,M,19.293956044,16.7,1.0,0 to 20,0 to 100
02af631df0,M,19.3461538462,40.6,2.0,0 to 20,0 to 100
02b0cf46ba,M,26.0137362637,19.9,1.0,20 to 30,0 to 100
02b10fa5aa,M,34.4340659341,16.7,1.0,30 to 40,0 to 100
02b1e2613d,M,33.0824175824,109.8,6.0,30 to 40,100 to 300
02b5748f33,M,38.5521978022,23.9,1.0,30 to 40,0 to 100
02b5773008,,51.1758241758,19.9,1.0,40 to 60,0 to 100
02b5f7fc5f,F,56.7774725275,19.9,1.0,40 to 60,0 to 100
02b7e003d5,M,60.3818681319,19.9,1.0,60 and above,0 to 100
02b9061250,M,21.5879120879,16.7,1.0,20 to 30,0 to 100
02bb3b9a7f,,28.7197802198,19.9,1.0,20 to 30,0 to 100
02c140c88b,M,19.1456043956,16.7,1.0,0 to 20,0 to 100
02c1cfbdcf,F,37.3543956044,16.7,1.0,30 to 40,0 to 100
02c3c0d53e,F,60.4807692308,23.9,1.0,60 and above,0 to 100
02c96390b4,M,32.1401098901,23.9,1.0,30 to 40,0 to 100
02cc98bc48,M,27.0714285714,23.9,1.0,20 to 30,0 to 100
02d5262bfb,F,35.3241758242,39.8,2.0,30 to 40,0 to 100
02d94e3894,F,113.423076923,16.7,1.0,60 and above,0 to 100
02d99c85fb,M,19.3516483516,19.9,1.0,0 to 20,0 to 100
02dab4f665,F,32.1868131868,16.7,1.0,30 to 40,0 to 100
02db622166,M,20.8241758242,19.9,1.0,20 to 30,0 to 100
02dd51d51d,F,27.3653846154,16.7,1.0,20 to 30,0 to 100
02e14ea500,,49.3708791209,39.8,2.0,40 to 60,0 to 100
02e32aef7e,M,33.9532967033,16.7,1.0,30 to 40,0 to 100
02e50c2edb,F,38.989010989,23.9,1.0,30 to 40,0 to 100
02e850cb18,M,113.423076923,23.9,1.0,60 and above,0 to 100
02e8792070,,113.423076923,25.0,1.0,60 and above,0 to 100
02f367d974,M,34.1730769231,23.9,1.0,30 to 40,0 to 100
02f4bc6dcd,,35.5521978022,25.0,1.0,30 to 40,0 to 100
02f6cbdcbd,M,21.5137362637,19.9,1.0,20 to 30,0 to 100
02f80d17d8,,40.543956044,25.0,1.0,40 to 60,0 to 100
02f848ad7b,,57.7087912088,23.9,1.0,40 to 60,0 to 100
02fd416c4b,,64.8241758242,23.9,1.0,60 and above,0 to 100
02fecde1e5,,41.6675824176,23.9,1.0,40 to 60,0 to 100
02fef002c0,M,113.423076923,19.9,1.0,60 and above,0 to 100
02ffbf1d3b,M,45.7637362637,16.7,1.0,40 to 60,0 to 100
03018e6a18,M,35.2307692308,19.9,1.0,30 to 40,0 to 100
0303dc6fd6,,113.423076923,19.9,1.0,60 and above,0 to 100
03105b3b24,,65.282967033,32.0,1.0,60 and above,0 to 100
0311c0abca,F,31.0137362637,19.9,1.0,30 to 40,0 to 100
03156f5b68,M,30.4615384615,109.8,6.0,30 to 40,100 to 300
0316c9582d,F,58.521978022,19.9,1.0,40 to 60,0 to 100
0316e7f4b7,M,27.2417582418,19.9,1.0,20 to 30,0 to 100
03187c861a,M,25.4505494505,16.7,1.0,20 to 30,0 to 100
03197ff349,,26.5412087912,19.9,1.0,20 to 30,0 to 100
031cb730bb,M,34.2527472527,16.7,1.0,30 to 40,0 to 100
031ea0a423,F,35.8626373626,16.7,1.0,30 to 40,0 to 100
031f9ed919,M F,25.1978021978,326.1,17.0,20 to 30,300 to 600
03226a5414,M,28.5879120879,16.7,1.0,20 to 30,0 to 100
0324179a8b,,33.7115384615,23.9,1.0,30 to 40,0 to 100
03266bf660,F,35.7554945055,47.8,2.0,30 to 40,0 to 100
03288790a3,M,21.3296703297,19.9,1.0,20 to 30,0 to 100
03329bbf3a,,44.3104395604,19.9,1.0,40 to 60,0 to 100
0333837c73,,23.032967033,25.0,1.0,20 to 30,0 to 100
033c94e28f,M,66.1098901099,39.8,2.0,60 and above,0 to 100
033f1a3322,,66.7554945055,75.0,3.0,60 and above,0 to 100
033f3ed6e1,M,113.423076923,19.9,1.0,60 and above,0 to 100
03413830a3,M,27.8296703297,19.9,1.0,20 to 30,0 to 100
03478dc89e,M,113.423076923,19.9,1.0,60 and above,0 to 100
03494bd85a,M,34.4697802198,19.9,1.0,30 to 40,0 to 100
034c9a7255,,30.9478021978,23.9,1.0,30 to 40,0 to 100
034db2a739,M,21.478021978,16.7,1.0,20 to 30,0 to 100
034fb67388,,113.423076923,25.0,1.0,60 and above,0 to 100
0353267fd1,,60.8241758242,23.9,1.0,60 and above,0 to 100
035676d0a3,M,19.782967033,19.9,1.0,0 to 20,0 to 100
0356f00850,,40.1620879121,23.9,1.0,40 to 60,0 to 100
0357e62586,M,30.739010989,47.8,2.0,30 to 40,0 to 100
035b6a90e6,,33.0082417582,19.9,1.0,30 to 40,0 to 100
035bb06167,,29.4175824176,19.9,1.0,20 to 30,0 to 100
03699b0203,M,21.7692307692,16.7,1.0,20 to 30,0 to 100
036ad887c0,,113.423076923,23.9,1.0,60 and above,0 to 100
0372378c2f,M,54.2087912088,16.7,1.0,40 to 60,0 to 100
0374e14520,M,21.5796703297,40.6,2.0,20 to 30,0 to 100
037708bea3,F,52.9450549451,19.9,1.0,40 to 60,0 to 100
037908c0e9,M,31.2032967033,19.9,1.0,30 to 40,0 to 100
037a880cde,F,40.1840659341,16.7,1.0,40 to 60,0 to 100
037c8d37ae,,113.423076923,39.8,2.0,60 and above,0 to 100
037f264e72,F,29.3846153846,19.9,1.0,20 to 30,0 to 100
0384a5a8a8,M,31.7582417582,19.9,1.0,30 to 40,0 to 100
0384e35eb8,M,36.0494505495,16.7,1.0,30 to 40,0 to 100
03860afe09,,35.7005494505,25.0,1.0,30 to 40,0 to 100
0387e9b13c,,26.6923076923,25.0,1.0,20 to 30,0 to 100
03899c3445,M,29.7335164835,16.7,1.0,20 to 30,0 to 100
038a6be6c2,M,23.3846153846,19.9,1.0,20 to 30,0 to 100
038c261328,,18.6181318681,23.9,1.0,0 to 20,0 to 100
038f312922,M,20.5357142857,19.9,1.0,20 to 30,0 to 100
039189f45f,,39.2445054945,200.0,8.0,30 to 40,100 to 300
0391dcac6a,M,25.4615384615,16.7,1.0,20 to 30,0 to 100
03921c3012,,23.7087912088,25.0,1.0,20 to 30,0 to 100
0392794da8,M,113.423076923,16.7,1.0,60 and above,0 to 100
0393760ff3,M,20.4478021978,19.9,1.0,20 to 30,0 to 100
039945aa77,M,47.3626373626,19.9,1.0,40 to 60,0 to 100
039cecfd31,,23.0412087912,19.9,1.0,20 to 30,0 to 100
039e1a3f6d,F,49.7307692308,19.9,1.0,40 to 60,0 to 100
039edf2a43,,113.423076923,23.9,1.0,60 and above,0 to 100
039f5a6cb8,M,39.4752747253,19.9,1.0,30 to 40,0 to 100
039f96cb71,F,41.8846153846,16.7,1.0,40 to 60,0 to 100
039f9cdf80,F,35.9505494505,16.7,1.0,30 to 40,0 to 100
03a481b8f5,M,29.6016483516,19.9,1.0,20 to 30,0 to 100
03a7d09007,M,50.3791208791,16.7,1.0,40 to 60,0 to 100
03ab7b41b2,F,24.6456043956,16.7,1.0,20 to 30,0 to 100
03ae4596fc,,25.1923076923,23.9,1.0,20 to 30,0 to 100
03af354829,,34.6648351648,23.9,1.0,30 to 40,0 to 100
03b0b71b59,,38.8543956044,39.8,2.0,30 to 40,0 to 100
03b1c38921,M,31.4175824176,19.9,1.0,30 to 40,0 to 100
03b59469d4,F,113.423076923,16.7,1.0,60 and above,0 to 100
03b7673690,F,20.010989011,16.7,1.0,20 to 30,0 to 100
03b8126ad3,,32.3901098901,23.9,1.0,30 to 40,0 to 100
03ba358bcd,M,113.423076923,19.9,1.0,60 and above,0 to 100
03ba5eec68,M,36.3928571429,19.9,1.0,30 to 40,0 to 100
03be9dbace,F,33.0164835165,16.7,1.0,30 to 40,0 to 100
03c27b92a6,F,29.1346153846,16.7,1.0,20 to 30,0 to 100
03c51d812f,,35.3956043956,19.9,1.0,30 to 40,0 to 100
03c5a47ea4,M,39.8049450549,19.9,1.0,30 to 40,0 to 100
03c8fff317,M,18.467032967,16.7,1.0,0 to 20,0 to 100
03d056a639,F,28.4807692308,16.7,1.0,20 to 30,0 to 100
03d06092dc,F,32.8186813187,16.7,1.0,30 to 40,0 to 100
03d588bdc8,M,38.6043956044,23.9,1.0,30 to 40,0 to 100
03d8ad15f3,F,113.423076923,33.4,2.0,60 and above,0 to 100
03d90074ed,,59.6895604396,25.0,1.0,40 to 60,0 to 100
03d9bfc310,M,29.5054945055,16.7,1.0,20 to 30,0 to 100
03d9c8a068,F,113.423076923,16.7,1.0,60 and above,0 to 100
03da0d838b,F,28.2554945055,19.9,1.0,20 to 30,0 to 100
03db02fcb7,,21.2252747253,23.9,1.0,20 to 30,0 to 100
03dd963600,M,113.423076923,19.9,1.0,60 and above,0 to 100
03e2e05dae,M,33.7637362637,16.7,1.0,30 to 40,0 to 100
