order_id,user_id,departement,birth,order_date,total,nb_tshirts,tshirt_price,order_year,order_month,order_day,order_hr,order_weekofyear,order_dayofweek,age,shirt_type,gender,color
TSG-1200541,d72e9b958a,75,1977-12-16 00:00:00,2014-10-02 14:22:00,25.0,1.0,25.0,2014,10,2,14,40,3,35.1950549451,Hoodie,,
TSG-1200545,87f89d1fe4,53,1950-12-18 00:00:00,2014-01-19 10:59:00,200.0,8.0,25.0,2014,1,19,10,3,6,62.282967033,Hoodie,,
TSG-1200552,23b5dae249,75,1977-06-07 00:00:00,2014-08-20 10:10:00,19.9,1.0,19.9,2014,8,20,10,34,2,35.7225274725,Hoodie,,
TSG-1200555,82c97f8fbc,13,1987-04-04 00:00:00,2013-12-21 20:42:00,75.0,3.0,25.0,2013,12,21,20,51,5,25.8653846154,Hoodie,,
TSG-1200560,1208f3603c,52,1959-10-01 00:00:00,2013-12-14 12:57:00,23.9,1.0,23.9,2013,12,14,12,50,5,53.467032967,Hoodie,,
TSG-1200561,ce7bd68e91,49,1958-02-01 00:00:00,2014-12-03 10:03:00,217.1,13.0,16.7,2014,12,3,10,49,2,55.1346153846,T-Shirt,M,Black
TSG-1200564,50d150a385,93,1966-06-07 00:00:00,2014-05-30 21:01:00,16.7,1.0,16.7,2014,5,30,21,22,4,46.760989011,T-Shirt,M,Black
TSG-1200565,b25f411e02,84,1899-12-30 00:00:00,2014-08-14 23:53:00,19.9,1.0,19.9,2014,8,14,23,33,3,113.423076923,Hoodie,,
TSG-1200566,eda2d9d70a,2,1979-12-09 00:00:00,2013-07-12 18:57:00,19.9,1.0,19.9,2013,7,12,18,28,4,33.2087912088,T-Shirt,M,White
TSG-1200571,c3a94ea2b0,85,1954-06-24 00:00:00,2013-12-12 19:21:00,33.4,2.0,16.7,2013,12,12,19,50,3,58.7554945055,T-Shirt,F,Black
TSG-1200573,68752ccdb7,56,1899-12-30 00:00:00,2014-05-28 19:02:00,16.7,1.0,16.7,2014,5,28,19,22,2,113.423076923,T-Shirt,M,Black
TSG-1200574,c73d54ceb4,42,1899-12-30 00:00:00,2013-12-13 20:30:00,39.8,2.0,19.9,2013,12,13,20,50,4,113.423076923,Hoodie,,
TSG-1200575,d458f3e372,67,1978-02-11 00:00:00,2013-06-12 21:44:00,25.0,1.0,25.0,2013,6,12,21,24,2,35.0384615385,Hoodie,,
TSG-1200580,8ad19a93d3,77,1977-07-06 00:00:00,2013-12-12 17:44:00,19.9,1.0,19.9,2013,12,12,17,50,3,35.6428571429,Hoodie,,
TSG-1200586,3dd642eabf,60,1985-05-29 00:00:00,2014-06-03 14:24:00,16.7,1.0,16.7,2014,6,3,14,23,1,27.7197802198,T-Shirt,M,Black
TSG-1200587,744e6b6b69,30,1966-11-23 00:00:00,2013-12-12 09:56:00,23.9,1.0,23.9,2013,12,12,9,50,3,46.2967032967,Hoodie,,
TSG-1200588,0c8850d2f7,13,1968-01-09 00:00:00,2014-05-27 11:19:00,23.9,1.0,23.9,2014,5,27,11,22,1,45.1648351648,T-Shirt,F,Black
TSG-1200590,0dbf9ac289,38,1979-07-21 00:00:00,2014-07-15 16:50:00,16.7,1.0,16.7,2014,7,15,16,29,1,33.5961538462,T-Shirt,M,Black
TSG-1200593,323f53ec46,13,1972-06-07 00:00:00,2014-07-06 21:48:00,25.0,1.0,25.0,2014,7,6,21,27,6,40.739010989,Hoodie,,
TSG-1200596,0ff83e41eb,45,1980-07-12 00:00:00,2014-04-29 22:59:00,95.6,4.0,23.9,2014,4,29,22,18,1,32.6153846154,T-Shirt,M,White
TSG-1200597,a14684b3c2,88,1992-09-20 00:00:00,2013-12-15 13:15:00,19.9,1.0,19.9,2013,12,15,13,50,6,20.3818681319,T-Shirt,M,White
TSG-1200600,dd5e044d69,79,1972-06-11 00:00:00,2014-07-09 18:42:00,19.9,1.0,19.9,2014,7,9,18,28,2,40.728021978,T-Shirt,M,Black
TSG-1200601,5317ff75d9,40,1989-02-28 00:00:00,2014-10-26 17:04:00,19.9,1.0,19.9,2014,10,26,17,43,6,23.9532967033,T-Shirt,M,White
TSG-1200610,33e44f3d61,13,1899-12-30 00:00:00,2014-04-02 17:49:00,19.9,1.0,19.9,2014,4,2,17,14,2,113.423076923,T-Shirt,M,White
TSG-1200615,107d82bec6,18,1963-08-24 00:00:00,2013-12-16 19:52:00,25.0,1.0,25.0,2013,12,16,19,51,0,49.5576923077,Hoodie,,
TSG-1200617,f2d8afa0eb,71,1957-01-27 00:00:00,2013-05-12 16:23:00,23.9,1.0,23.9,2013,5,12,16,19,6,56.1510989011,T-Shirt,M,White
TSG-1200621,96ebf96df2,92,1965-05-12 00:00:00,2014-12-01 21:34:00,19.9,1.0,19.9,2014,12,1,21,49,0,47.8351648352,Hoodie,,
TSG-1200623,54dedcf486,45,1990-07-29 00:00:00,2014-05-02 15:42:00,23.9,1.0,23.9,2014,5,2,15,18,4,22.5357142857,Tennis Shirt,,
TSG-1200627,3b1a3d1f80,30,1943-09-21 00:00:00,2014-03-21 16:31:00,19.9,1.0,19.9,2014,3,21,16,12,4,69.5494505495,Hoodie,,
TSG-1200631,a34623fabf,59,1988-01-27 00:00:00,2013-12-30 22:56:00,33.4,2.0,16.7,2013,12,30,22,1,0,25.0467032967,T-Shirt,F,Black
TSG-1200632,8a2f7c6e4c,45,1945-10-27 00:00:00,2014-05-25 14:03:00,16.7,1.0,16.7,2014,5,25,14,21,6,67.4423076923,T-Shirt,M,White
TSG-1200633,6c69226614,62,1980-08-10 00:00:00,2014-05-26 21:42:00,16.7,1.0,16.7,2014,5,26,21,22,0,32.5357142857,T-Shirt,F,White
TSG-1200635,a01de4cac3,57,1966-11-15 00:00:00,2013-02-12 16:24:00,25.0,1.0,25.0,2013,2,12,16,7,1,46.3186813187,T-Shirt,M,White
TSG-1200645,a9206a94c0,13,1984-11-12 00:00:00,2013-12-28 17:35:00,19.9,1.0,19.9,2013,12,28,17,52,5,28.2637362637,T-Shirt,M,Black
TSG-1200648,00bdf912c4,61,1972-09-18 00:00:00,2013-12-17 18:37:00,32.0,1.0,32.0,2013,12,17,18,51,1,40.456043956,Hoodie,,
TSG-1200649,179a7fa5fb,75,1986-06-11 00:00:00,2014-06-07 09:36:00,19.9,1.0,19.9,2014,6,7,9,23,5,26.6813186813,T-Shirt,M,White
TSG-1200651,646eb92052,74,1958-08-25 00:00:00,2013-12-20 12:53:00,39.8,2.0,19.9,2013,12,20,12,51,4,54.5714285714,T-Shirt,M,White
TSG-1200652,31c8e83fa5,78,1986-11-19 00:00:00,2013-09-12 19:42:00,23.9,1.0,23.9,2013,9,12,19,37,3,26.239010989,T-Shirt,M,White
TSG-1200654,9c5aadb0c2,4,1965-05-26 00:00:00,2013-07-12 09:24:00,50.0,2.0,25.0,2013,7,12,9,28,4,47.7967032967,Hoodie,,
TSG-1200655,1d51c9e033,75,1991-11-28 00:00:00,2013-12-22 12:07:00,16.7,1.0,16.7,2013,12,22,12,51,6,21.1978021978,T-Shirt,M,Black
TSG-1200664,364b971135,38,1992-03-15 00:00:00,2014-02-15 18:39:00,16.7,1.0,16.7,2014,2,15,18,7,5,20.9010989011,T-Shirt,F,White
TSG-1200667,4af00ddbca,21,1899-12-30 00:00:00,2013-12-30 19:55:00,16.7,1.0,16.7,2013,12,30,19,1,0,113.423076923,T-Shirt,M,Black
TSG-1200669,20391b0046,86,1954-06-14 00:00:00,2014-05-06 17:59:00,23.9,1.0,23.9,2014,5,6,17,19,1,58.782967033,T-Shirt,F,Black
TSG-1200670,70dc2af2de,6,1966-06-12 00:00:00,2013-12-22 21:09:00,16.7,1.0,16.7,2013,12,22,21,51,6,46.7472527473,T-Shirt,F,Black
TSG-1200671,fd030c2ed2,13,1986-09-06 00:00:00,2013-04-12 18:22:00,19.9,1.0,19.9,2013,4,12,18,15,4,26.4423076923,T-Shirt,F,Black
TSG-1200674,40b5a2eeae,92,1980-05-26 00:00:00,2014-05-29 00:08:00,16.7,1.0,16.7,2014,5,29,0,22,3,32.7445054945,T-Shirt,F,Black
TSG-1200675,1a23b835fb,28,1989-12-23 00:00:00,2013-10-12 21:13:00,16.7,1.0,16.7,2013,10,12,21,41,5,23.1346153846,T-Shirt,M,Black
TSG-1200677,3de2c07555,91,1948-12-05 00:00:00,2013-12-15 16:00:00,23.9,1.0,23.9,2013,12,15,16,50,6,64.3241758242,T-Shirt,F,White
TSG-1200678,fb8604b0a6,63,1952-07-09 00:00:00,2013-12-18 11:33:00,25.0,1.0,25.0,2013,12,18,11,51,2,60.7197802198,Tennis Shirt,,
TSG-1200680,c3d823c5ac,45,1975-07-22 00:00:00,2013-12-21 15:07:00,25.0,1.0,25.0,2013,12,21,15,51,5,37.6071428571,Hoodie,,
TSG-1200682,ac285cfb88,44,1972-12-29 00:00:00,2014-06-18 22:46:00,19.9,1.0,19.9,2014,6,18,22,25,2,40.1758241758,T-Shirt,F,White
TSG-1200686,6ef4de836b,50,1991-03-18 00:00:00,2013-01-12 12:44:00,19.9,1.0,19.9,2013,1,12,12,2,5,21.8983516484,Hoodie,,
TSG-1200687,1efdabf5e9,76,1899-12-30 00:00:00,2013-04-12 20:21:00,16.7,1.0,16.7,2013,4,12,20,15,4,113.423076923,T-Shirt,M,Black
TSG-1200692,eb38117368,31,1899-12-30 00:00:00,2014-06-13 10:24:00,19.9,1.0,19.9,2014,6,13,10,24,4,113.423076923,Hoodie,,
TSG-1200695,c5c16f4f13,73,1991-01-07 00:00:00,2014-05-18 09:58:00,25.0,1.0,25.0,2014,5,18,9,20,6,22.0906593407,Hoodie,,
TSG-1200698,493067ec34,32,1981-02-28 00:00:00,2013-11-30 21:47:00,16.7,1.0,16.7,2013,11,30,21,48,5,31.9807692308,T-Shirt,F,Black
TSG-1200703,17a13d04f5,71,1970-10-25 00:00:00,2014-09-27 12:30:00,16.7,1.0,16.7,2014,9,27,12,39,5,42.3626373626,T-Shirt,M,Black
TSG-1200707,6492c9ca1a,31,1971-09-22 00:00:00,2013-11-29 15:55:00,23.9,1.0,23.9,2013,11,29,15,48,4,41.4505494505,Hoodie,,
TSG-1200712,f4bc31829c,,1978-09-30 00:00:00,2013-08-12 14:38:00,39.8,2.0,19.9,2013,8,12,14,33,0,34.4038461538,Hoodie,,
TSG-1200714,0e05252c1c,77,1899-12-30 00:00:00,2014-06-13 19:43:00,19.9,1.0,19.9,2014,6,13,19,24,4,113.423076923,T-Shirt,M,White
TSG-1200716,e57ed139fe,13,1973-05-12 00:00:00,2013-12-13 21:48:00,25.0,1.0,25.0,2013,12,13,21,50,4,39.8076923077,Hoodie,,
TSG-1200727,d509397d20,78,1981-12-11 00:00:00,2013-05-12 20:44:00,25.0,1.0,25.0,2013,5,12,20,19,6,31.1950549451,Tennis Shirt,,
TSG-1200730,8c9429a3e8,66,1899-12-30 00:00:00,2013-12-20 19:26:00,50.1,3.0,16.7,2013,12,20,19,51,4,113.423076923,T-Shirt,F,White
TSG-1200735,58da7637fb,1,1990-11-25 00:00:00,2014-05-24 11:52:00,23.9,1.0,23.9,2014,5,24,11,21,5,22.2087912088,T-Shirt,M,White
TSG-1200736,ac6025cefc,33,1983-03-24 00:00:00,2014-11-03 18:20:00,16.7,1.0,16.7,2014,11,3,18,45,0,29.9093406593,T-Shirt,M,Black
TSG-1200737,2a804daa5a,93,1988-11-16 00:00:00,2013-12-16 15:00:00,16.7,1.0,16.7,2013,12,16,15,51,0,24.239010989,T-Shirt,M,Black
TSG-1200738,d0f60ed40d,33,1988-09-02 00:00:00,2013-11-12 21:11:00,16.7,1.0,16.7,2013,11,12,21,46,1,24.4450549451,T-Shirt,M,Black
TSG-1200741,5e699ec7d9,30,1987-04-01 00:00:00,2014-01-01 17:16:00,16.7,1.0,16.7,2014,1,1,17,1,2,25.8736263736,T-Shirt,M,Black
TSG-1200745,5fddecf5fc,74,1961-06-17 00:00:00,2014-09-06 22:33:00,19.9,1.0,19.9,2014,9,6,22,36,5,51.75,T-Shirt,M,White
TSG-1200746,0d0509f0c1,78,1899-12-30 00:00:00,2014-08-26 20:30:00,19.9,1.0,19.9,2014,8,26,20,35,1,113.423076923,T-Shirt,M,Black
TSG-1200749,88ff7ee13d,34,1973-04-11 00:00:00,2013-12-12 22:16:00,19.9,1.0,19.9,2013,12,12,22,50,3,39.8928571429,T-Shirt,F,Black
TSG-1200755,440364d3ed,14,1967-12-12 00:00:00,2013-08-12 20:26:00,19.9,1.0,19.9,2013,8,12,20,33,0,45.2417582418,T-Shirt,F,Black
TSG-1200758,b24ec338ab,92,1899-12-30 00:00:00,2013-07-12 22:09:00,19.9,1.0,19.9,2013,7,12,22,28,4,113.423076923,Hoodie,,
TSG-1200763,269ca47391,77,1980-07-14 00:00:00,2014-09-20 10:26:00,39.8,2.0,19.9,2014,9,20,10,38,5,32.6098901099,T-Shirt,M,White
TSG-1200764,63e3824a6b,78,1993-07-21 00:00:00,2013-11-12 17:31:00,33.4,2.0,16.7,2013,11,12,17,46,1,19.5467032967,T-Shirt,M,Black
TSG-1200766,88a4ea14c8,35,1980-07-10 00:00:00,2014-06-28 22:37:00,16.7,1.0,16.7,2014,6,28,22,26,5,32.6208791209,T-Shirt,F,Black
TSG-1200767,145f6fa2ae,49,1975-05-31 00:00:00,2014-08-19 22:26:00,19.9,1.0,19.9,2014,8,19,22,34,1,37.75,T-Shirt,M,White
TSG-1200768,fc40aa699d,38,1942-06-26 00:00:00,2014-07-05 14:20:00,32.0,1.0,32.0,2014,7,5,14,27,5,70.7912087912,Hoodie,,
TSG-1200770,52e1e72e77,69,1973-09-11 00:00:00,2014-12-01 21:47:00,16.7,1.0,16.7,2014,12,1,21,49,0,39.4725274725,T-Shirt,M,White
TSG-1200773,7f115c147a,95,1982-08-15 00:00:00,2014-04-16 15:27:00,19.9,1.0,19.9,2014,4,16,15,16,2,30.5164835165,Hoodie,,
TSG-1200777,0e67deba5d,75,1988-07-11 00:00:00,2013-08-12 18:55:00,32.0,1.0,32.0,2013,8,12,18,33,0,24.5906593407,Hoodie,,
TSG-1200779,8e6ec9b1a4,93,1988-02-13 00:00:00,2014-04-22 16:33:00,25.0,1.0,25.0,2014,4,22,16,17,1,25.0,T-Shirt,M,White
TSG-1200780,d35bf4de71,31,1975-07-06 00:00:00,2013-12-18 16:29:00,19.9,1.0,19.9,2013,12,18,16,51,2,37.6510989011,Hoodie,,
TSG-1200789,6408379aae,68,1986-01-23 00:00:00,2014-05-08 21:48:00,16.7,1.0,16.7,2014,5,8,21,19,3,27.0631868132,T-Shirt,M,Black
TSG-1200791,c872008d18,95,1985-07-10 00:00:00,2014-08-28 09:29:00,16.7,1.0,16.7,2014,8,28,9,35,3,27.6043956044,T-Shirt,M,White
TSG-1200796,542c090413,67,1965-04-14 00:00:00,2013-01-12 22:33:00,79.6,4.0,19.9,2013,1,12,22,2,5,47.9120879121,T-Shirt,M,White
TSG-1200799,52bd364cae,78,1985-04-22 00:00:00,2014-11-09 14:25:00,16.7,1.0,16.7,2014,11,9,14,45,6,27.8214285714,T-Shirt,M,Black
TSG-1200801,76ef72ce98,44,1899-12-30 00:00:00,2013-12-21 10:09:00,16.7,1.0,16.7,2013,12,21,10,51,5,113.423076923,T-Shirt,M,Black
TSG-1200803,87bdc34c36,25,1978-11-30 00:00:00,2013-12-17 21:43:00,19.9,1.0,19.9,2013,12,17,21,51,1,34.2362637363,T-Shirt,M,White
TSG-1200806,b1fd7312f4,43,1974-07-21 00:00:00,2014-05-08 18:36:00,19.9,1.0,19.9,2014,5,8,18,19,3,38.6126373626,T-Shirt,M,White
TSG-1200809,20b0b28d6c,13,1899-12-30 00:00:00,2014-03-20 19:07:00,19.9,1.0,19.9,2014,3,20,19,12,3,113.423076923,T-Shirt,M,White
TSG-1200812,3207e81a21,45,1986-05-09 00:00:00,2014-05-16 17:27:00,16.7,1.0,16.7,2014,5,16,17,20,4,26.771978022,T-Shirt,F,White
TSG-1200814,4519db360a,87,1995-11-15 00:00:00,2013-09-12 05:52:00,16.7,1.0,16.7,2013,9,12,5,37,3,17.2197802198,T-Shirt,M,Black
TSG-1200815,e950247701,86,1951-03-02 00:00:00,2013-08-12 22:32:00,23.9,1.0,23.9,2013,8,12,22,33,0,62.0796703297,T-Shirt,M,White
TSG-1200816,48d5bad236,76,1974-10-03 00:00:00,2014-09-11 08:27:00,33.4,2.0,16.7,2014,9,11,8,37,3,38.4093406593,T-Shirt,M,Black
TSG-1200820,747a57f995,85,1970-04-04 00:00:00,2014-06-08 11:57:00,25.0,1.0,25.0,2014,6,8,11,23,6,42.9230769231,Hoodie,,
TSG-1200821,9ce5795977,14,1979-07-27 00:00:00,2013-12-14 13:08:00,16.7,1.0,16.7,2013,12,14,13,50,5,33.5796703297,T-Shirt,F,Black
TSG-1200822,8dfe022c07,54,1985-08-03 00:00:00,2014-07-02 11:05:00,19.9,1.0,19.9,2014,7,2,11,27,2,27.5384615385,T-Shirt,M,White
TSG-1200828,d275f6f0de,73,1899-12-30 00:00:00,2013-12-22 13:26:00,33.4,2.0,16.7,2013,12,22,13,51,6,113.423076923,T-Shirt,F,Black
TSG-1200829,e79ddc2174,33,1975-07-15 00:00:00,2013-11-29 18:12:00,16.7,1.0,16.7,2013,11,29,18,48,4,37.6263736264,T-Shirt,F,Black
TSG-1200830,49dd788d01,70,1986-11-07 00:00:00,2014-09-01 08:24:00,19.9,1.0,19.9,2014,9,1,8,36,0,26.271978022,T-Shirt,F,Black
TSG-1200833,bd7bcc685a,59,1988-02-17 00:00:00,2014-04-03 20:05:00,16.7,1.0,16.7,2014,4,3,20,14,3,24.989010989,T-Shirt,M,Black
TSG-1200838,a2f789a540,77,1979-04-02 00:00:00,2014-01-07 21:05:00,23.9,1.0,23.9,2014,1,7,21,2,1,33.8983516484,T-Shirt,M,White
TSG-1200839,db9aa0b2c4,89,1984-08-23 00:00:00,2013-08-12 12:58:00,50.0,2.0,25.0,2013,8,12,12,33,0,28.4862637363,Hoodie,,
TSG-1200841,d674855ea8,28,1979-08-19 00:00:00,2013-03-12 15:11:00,16.7,1.0,16.7,2013,3,12,15,11,1,33.5164835165,T-Shirt,M,White
TSG-1200843,6fe2253d9c,,1899-12-30 00:00:00,2014-07-20 21:50:00,16.7,1.0,16.7,2014,7,20,21,29,6,113.423076923,T-Shirt,M,White
TSG-1200846,02e14ea500,74,1963-10-31 00:00:00,2014-01-06 12:13:00,19.9,1.0,19.9,2014,1,6,12,2,0,49.3708791209,Hoodie,,
TSG-1200849,e562069b54,92,1988-12-31 00:00:00,2014-03-19 22:57:00,16.7,1.0,16.7,2014,3,19,22,12,2,24.1153846154,T-Shirt,M,Black
TSG-1200854,3b44c575a2,6,1954-04-04 00:00:00,2014-10-20 19:28:00,23.9,1.0,23.9,2014,10,20,19,43,0,58.978021978,T-Shirt,M,White
TSG-1200855,0ea44d5f41,85,1942-11-10 00:00:00,2014-01-07 13:47:00,25.0,1.0,25.0,2014,1,7,13,2,1,70.4148351648,Tennis Shirt,,
TSG-1200856,d36c2842d1,59,1899-12-30 00:00:00,2014-01-16 14:38:00,19.9,1.0,19.9,2014,1,16,14,3,3,113.423076923,T-Shirt,M,White
TSG-1200858,04c1fec189,38,1989-09-30 00:00:00,2013-02-12 19:39:00,23.9,1.0,23.9,2013,2,12,19,7,1,23.3653846154,T-Shirt,M,White
TSG-1200859,b8ecaa19c4,51,1970-06-29 00:00:00,2014-08-29 20:37:00,23.9,1.0,23.9,2014,8,29,20,35,4,42.6868131868,T-Shirt,F,Black
TSG-1200862,f4808eb7e3,42,1899-12-30 00:00:00,2013-02-12 22:11:00,19.9,1.0,19.9,2013,2,12,22,7,1,113.423076923,T-Shirt,M,White
TSG-1200864,73d6f57c73,64,1988-10-23 00:00:00,2014-10-09 15:35:00,19.9,1.0,19.9,2014,10,9,15,41,3,24.3049450549,Hoodie,,
TSG-1200865,f531be66e7,17,1962-04-26 00:00:00,2013-01-12 17:23:00,19.9,1.0,19.9,2013,1,12,17,2,5,50.8901098901,T-Shirt,M,White
TSG-1200867,5500597f5b,67,1958-04-09 00:00:00,2014-08-26 09:48:00,23.9,1.0,23.9,2014,8,26,9,35,1,54.9505494505,Hoodie,,
TSG-1200870,16920ca2db,78,1986-07-17 00:00:00,2013-07-12 21:55:00,19.9,1.0,19.9,2013,7,12,21,28,4,26.5824175824,T-Shirt,M,White
TSG-1200871,82f4fbf420,64,1988-02-29 00:00:00,2013-12-16 15:46:00,19.9,1.0,19.9,2013,12,16,15,51,0,24.956043956,T-Shirt,M,Black
TSG-1200873,fa10179e90,69,1992-09-16 00:00:00,2014-10-05 23:47:00,16.7,1.0,16.7,2014,10,5,23,40,6,20.3928571429,T-Shirt,F,Black
TSG-1200876,38f1bac0f3,22,1975-06-02 00:00:00,2013-12-12 17:24:00,66.8,4.0,16.7,2013,12,12,17,50,3,37.7445054945,T-Shirt,M,Black
TSG-1200881,ca72ffb04d,91,1979-04-18 00:00:00,2014-01-27 10:54:00,16.7,1.0,16.7,2014,1,27,10,5,0,33.8543956044,T-Shirt,M,Black
TSG-1200887,b5b93cd586,60,1899-12-30 00:00:00,2014-04-30 07:43:00,23.9,1.0,23.9,2014,4,30,7,18,2,113.423076923,T-Shirt,F,White
TSG-1200888,d554d438b2,94,1984-06-15 00:00:00,2013-04-12 21:34:00,16.7,1.0,16.7,2013,4,12,21,15,4,28.6758241758,T-Shirt,M,Black
TSG-1200892,f4bb239054,,1899-12-30 00:00:00,2014-03-03 23:32:00,25.0,1.0,25.0,2014,3,3,23,10,0,113.423076923,Hoodie,,
TSG-1200894,c674578835,50,1945-11-07 00:00:00,2013-12-17 21:30:00,16.7,1.0,16.7,2013,12,17,21,51,1,67.4120879121,T-Shirt,M,White
TSG-1200896,e824fe766f,47,1959-08-17 00:00:00,2013-03-12 23:12:00,25.0,1.0,25.0,2013,3,12,23,11,1,53.5906593407,Hoodie,,
TSG-1200900,84442c148f,14,1994-05-03 00:00:00,2013-12-25 14:09:00,16.7,1.0,16.7,2013,12,25,14,52,2,18.760989011,T-Shirt,F,Black
TSG-1200902,26aefafa95,34,1975-01-28 00:00:00,2014-10-04 19:25:00,16.7,1.0,16.7,2014,10,4,19,40,5,38.0879120879,T-Shirt,M,Black
TSG-1200911,52e2d50630,75,1899-12-30 00:00:00,2014-09-14 20:30:00,50.1,3.0,16.7,2014,9,14,20,37,6,113.423076923,T-Shirt,F,Black
TSG-1200913,03db02fcb7,83,1991-11-18 00:00:00,2013-12-19 18:24:00,23.9,1.0,23.9,2013,12,19,18,51,3,21.2252747253,Hoodie,,
TSG-1200915,a0656ac8d9,5,1982-06-05 00:00:00,2013-12-17 15:23:00,19.9,1.0,19.9,2013,12,17,15,51,1,30.7115384615,T-Shirt,M,White
TSG-1200919,52cc8e34b8,49,1984-06-09 00:00:00,2013-12-21 10:53:00,16.7,1.0,16.7,2013,12,21,10,51,5,28.6923076923,T-Shirt,M,Black
TSG-1200920,3d1daea588,22,1899-12-30 00:00:00,2013-12-18 00:15:00,23.9,1.0,23.9,2013,12,18,0,51,2,113.423076923,Tennis Shirt,,
TSG-1200924,1ead573d1f,45,1982-07-05 00:00:00,2013-12-17 14:38:00,16.7,1.0,16.7,2013,12,17,14,51,1,30.6291208791,T-Shirt,F,Black
TSG-1200926,93c3ffcb42,1,1961-10-31 00:00:00,2014-07-07 18:54:00,19.9,1.0,19.9,2014,7,7,18,28,0,51.3763736264,Hoodie,,
TSG-1200927,24fe5e59ee,76,1973-03-17 00:00:00,2014-12-08 20:42:00,19.9,1.0,19.9,2014,12,8,20,50,0,39.9615384615,T-Shirt,F,White
TSG-1200928,cd8ae3179c,29,1968-11-29 00:00:00,2013-12-16 19:08:00,25.0,1.0,25.0,2013,12,16,19,51,0,44.271978022,Hoodie,,
TSG-1200931,859291bcc7,42,1978-10-25 00:00:00,2014-07-20 11:32:00,23.9,1.0,23.9,2014,7,20,11,29,6,34.3351648352,Hoodie,,
TSG-1200933,41aa11dc7f,77,1899-12-30 00:00:00,2014-08-31 10:55:00,23.9,1.0,23.9,2014,8,31,10,35,6,113.423076923,T-Shirt,F,Black
TSG-1200935,8742c10e86,92,1985-03-20 00:00:00,2013-12-21 17:13:00,19.9,1.0,19.9,2013,12,21,17,51,5,27.9120879121,Hoodie,,
TSG-1200936,e41a6a6bf2,25,1970-09-16 00:00:00,2013-10-12 19:57:00,33.4,2.0,16.7,2013,10,12,19,41,5,42.4697802198,T-Shirt,M,Black
TSG-1200938,12d8e145a1,74,1979-02-09 00:00:00,2013-12-16 08:40:00,25.0,1.0,25.0,2013,12,16,8,51,0,34.0412087912,Hoodie,,
TSG-1200940,d581b4e9a6,18,1981-10-01 00:00:00,2014-05-06 15:46:00,19.9,1.0,19.9,2014,5,6,15,19,1,31.3901098901,T-Shirt,M,White
TSG-1200943,30df93ab6b,62,1989-07-08 00:00:00,2014-11-09 10:06:00,39.8,2.0,19.9,2014,11,9,10,45,6,23.5961538462,T-Shirt,F,White
TSG-1200945,4a5388fb9e,94,1953-04-20 00:00:00,2013-12-16 14:02:00,16.7,1.0,16.7,2013,12,16,14,51,0,59.9368131868,T-Shirt,M,Black
TSG-1200950,e17261d5dd,60,1899-12-30 00:00:00,2014-07-15 12:12:00,19.9,1.0,19.9,2014,7,15,12,29,1,113.423076923,T-Shirt,M,Black
TSG-1200962,b6ebfb4295,29,1986-09-19 00:00:00,2013-08-12 22:16:00,19.9,1.0,19.9,2013,8,12,22,33,0,26.4065934066,T-Shirt,M,White
TSG-1200964,db79888fd3,34,1961-07-21 00:00:00,2014-09-08 12:50:00,23.9,1.0,23.9,2014,9,8,12,37,0,51.6565934066,T-Shirt,M,White
TSG-1200969,5e2cf46fad,69,1969-11-10 00:00:00,2013-09-12 18:08:00,25.0,1.0,25.0,2013,9,12,18,37,3,43.3214285714,Hoodie,,
